산업군,고객사,제품구분,재고품질상태,상태사유,사업장,제품군,창고코드,LOT NO,품번,Item desc,제품명,수량,중량,단위,거래처,부동개월,폭,두께,높이,재고생성일,창고입고일,창고경과일
구동,,반제품,,,천안,MT,399,ERMCPR16210916001,EPRM012701,MT_127.2*70_(MV-EV 맵핑)_Rotor_20PNX1150F_SB_[임]_[정]_[P],MT_127.2*70_(MV-EV 맵핑)_Rotor_20PNX1150F_SB,20,53.05,EA,1232:모비스,8,127.2,0.2,70,2021-09-16,2021-09-16,251
구동,,반제품,,,천안,MT,399,ESMCMT32210916001,EPSM020006,MT_200*158_(MV-EV 맵핑)_Stator_20PNX1150F_SB_[임]_[정]_[P],MT_200*158_(MV-EV 맵핑)_Stator_20PNX1150F_SB,30,561.87,EA,1232:모비스,8,200,0.2,158,2021-09-16,2021-09-16,251
구동,,반제품,합격,,천안,MT,404,FSM1CB05220503003,FBSM028000,MT_280*56_(30KW)_분할 Stator_35PN 230_[자]_[정]_[B],MT_280*56_(30KW)_분할_Stator_35PN 230,600,226.33,EA,1232:모비스,0,280,0.35,56.35,2022-05-03,2022-05-11,14
구동,,반제품,합격,,천안,MT,404,FSM1CB05220518001,FBSM028000,MT_280*56_(30KW)_분할 Stator_35PN 230_[자]_[정]_[B],MT_280*56_(30KW)_분할_Stator_35PN 230,600,226.33,EA,1232:모비스,0,280,0.35,56.35,2022-05-18,2022-05-18,07
전장,,반제품,합격,,천안,MT,403,FRM1PR33220502002,FPRM002401,MT_24*34_Rotor_KS-SPCC-S_[자]_[정]_[P],MT_24*34_Rotor_KS-SPCC-S,2925,156.14,EA,1144:보수,0,24,1,34,2022-05-01,2022-05-02,23
전장,,반제품,합격,,천안,MT,403,FRM1PR33220502003,FPRM002401,MT_24*34_Rotor_KS-SPCC-S_[자]_[정]_[P],MT_24*34_Rotor_KS-SPCC-S,650,34.7,EA,1144:보수,0,24,1,34,2022-05-02,2022-05-02,23
전장,,반제품,합격,,천안,MT,403,FRM1PR33220517014,FPRM002407,MT_24*49_Rotor_KS-SPCC-S_[자]_[정]_[P],MT_24*49_Rotor_KS-SPCC-S,1242,95.55,EA,1144:보수,0,24,1,49,2022-05-17,2022-05-17,08
전장,,반제품,합격,,천안,MT,403,FRM1PR33220518001,FPRM002407,MT_24*49_Rotor_KS-SPCC-S_[자]_[정]_[P],MT_24*49_Rotor_KS-SPCC-S,3096,238.18,EA,1144:보수,0,24,1,49,2022-05-17,2022-05-18,07
전장,,반제품,합격,,천안,MT,403,FRM1PR33220514010,FPRM002709,MT_27*30_Rotor_KS-SCP1-S_[자]_[정]_[P],MT_27*30_Rotor_KS-SCP1-S,858,55.32,EA,3704:비와이오토,0,27,1,30,2022-05-14,2022-05-18,07
전장,,반제품,합격,,천안,MT,C00101,FRM1PR33220515013,FPRM002710,MT_27*36_Rotor_KS-SCP1-S_[자]_[정]_[P],MT_27*36_Rotor_KS-SCP1-S,1590,123.01,EA,3704:비와이오토,0,27,1,36,2022-05-15,2022-05-16,09
